start_time,end_time,text,speaker
00:00:00.000,00:00:02.000,But I just needed to change that.,UNKNOWN
00:00:02.000,00:00:03.500,"Oh, oh, okay.",UNKNOWN
00:00:03.500,00:00:05.000,"Okay, ready?",UNKNOWN
00:00:05.000,00:00:06.000,That's good.,UNKNOWN
00:00:06.000,00:00:08.000,What do you tell me about your video?,UNKNOWN
00:00:08.000,00:00:11.000,So now I'm just like live recording and giving me a <ANON> video.,UNKNOWN
00:00:11.000,00:00:12.000,"Oh, fine.",UNKNOWN
00:00:12.000,00:00:15.000,"But like, there's no, there's no video.",UNKNOWN
00:00:15.000,00:00:16.000,I told you.,UNKNOWN
00:00:16.000,00:00:17.000,I told you.,UNKNOWN
00:00:17.000,00:00:18.000,I told you.,UNKNOWN
00:00:18.000,00:00:19.000,I told you.,UNKNOWN
00:00:19.000,00:00:20.000,I told you.,UNKNOWN
00:00:20.000,00:00:21.000,I told you.,UNKNOWN
00:00:21.000,00:00:22.000,I told you.,UNKNOWN
00:00:22.000,00:00:23.000,No.,UNKNOWN
00:00:23.000,00:00:24.000,I asked you <ANON>.,UNKNOWN
00:00:24.000,00:00:25.000,I asked you <ANON>.,UNKNOWN
00:00:25.000,00:00:26.000,I told you.,UNKNOWN
00:00:26.000,00:00:27.000,The VPN was weird.,UNKNOWN
00:00:27.000,00:00:28.000,Oh.,UNKNOWN
00:00:28.000,00:00:29.000,That's why I'm just hearing it.,UNKNOWN
00:00:29.000,00:00:32.000,You use this 40 client than you're a computer.,UNKNOWN
00:00:32.000,00:00:34.000,It's hard to write.,UNKNOWN
00:00:34.000,00:00:37.000,Where's the volume of that?,UNKNOWN
00:00:37.000,00:00:38.000,Hello?,UNKNOWN
00:00:38.000,00:00:44.000,"Please, can I get a quick VR approval?",UNKNOWN
00:00:44.000,00:00:46.000,"Oh, the game, I'm not sure.",UNKNOWN
00:00:46.000,00:00:47.000,Why do you think it's not good?,UNKNOWN
00:00:47.000,00:00:48.000,I think it's not good.,UNKNOWN
00:00:48.000,00:00:50.000,"So, wait <ANON>.",UNKNOWN
00:00:50.000,00:00:53.000,"Also, that is behind you.",UNKNOWN
00:00:53.000,00:00:55.000,"Yeah, I can't.",UNKNOWN
00:00:55.000,00:00:58.000,"Is that, is that like a, is that a problem?",UNKNOWN
00:00:58.000,00:00:59.000,I'm a little bit sick.,UNKNOWN
00:00:59.000,00:01:02.000,"So, I'm sure it's like the, the monitor.",UNKNOWN
00:01:02.000,00:01:03.000,That was a bit less.,UNKNOWN
00:01:03.000,00:01:06.000,It would sound sound.,UNKNOWN
00:01:06.000,00:01:07.000,It would sound sound.,UNKNOWN
00:01:07.000,00:01:08.000,It would sound.,UNKNOWN
00:01:08.000,00:01:09.000,Yeah.,UNKNOWN
00:01:09.000,00:01:11.000,I'll be device.,UNKNOWN
00:01:11.000,00:01:12.000,Build set.,UNKNOWN
00:01:12.000,00:01:13.000,Yeah.,UNKNOWN
00:01:13.000,00:01:16.000,"It's like how, like, the computer looks like.",UNKNOWN
00:01:16.000,00:01:18.000,The market rate on high.,UNKNOWN
00:01:18.000,00:01:19.000,Wait.,UNKNOWN
00:01:19.000,00:01:20.000,It sounds like we're just both.,UNKNOWN
00:01:20.000,00:01:22.000,"Okay, well, that's because they want to park guys.",UNKNOWN
00:01:22.000,00:01:23.000,It's kind of true.,UNKNOWN
00:01:23.000,00:01:24.000,It's kind of true.,UNKNOWN
00:01:25.000,00:01:28.000,It's not on here.,UNKNOWN
00:01:28.000,00:01:30.000,It's not on my head.,UNKNOWN
00:01:30.000,00:01:32.000,It's not on my head.,UNKNOWN
00:01:32.000,00:01:34.000,No way.,UNKNOWN
00:01:34.000,00:01:36.000,"So, can you please move your, your, your stuff right?",UNKNOWN
00:01:36.000,00:01:37.000,Yeah.,UNKNOWN
00:01:37.000,00:01:38.000,You're weird.,UNKNOWN
00:01:38.000,00:01:39.000,I'm not.,UNKNOWN
00:01:39.000,00:01:42.000,"He's not a, it is a, it is a movie.",UNKNOWN
00:01:42.000,00:01:44.000,"So, you can see it's going to be okay.",UNKNOWN
00:01:44.000,00:01:45.000,It's not.,UNKNOWN
00:01:45.000,00:01:46.000,It's not.,UNKNOWN
00:01:46.000,00:01:47.000,It's not.,UNKNOWN
00:01:47.000,00:01:48.000,It's not.,UNKNOWN
00:01:48.000,00:01:49.000,It's not.,UNKNOWN
00:01:49.000,00:01:50.000,It's not.,UNKNOWN
00:01:50.000,00:01:51.000,It's not.,UNKNOWN
00:01:51.000,00:01:52.000,It's not.,UNKNOWN
00:01:52.000,00:01:55.439,Oh that's not used.,UNKNOWN
00:01:55.439,00:01:59.000,Oh.,UNKNOWN
00:01:59.000,00:02:02.120,That's awesome.,UNKNOWN
00:02:02.120,00:02:05.480,"Works to be, out.",UNKNOWN
00:02:05.480,00:02:07.280,Always wonderful.,UNKNOWN
00:02:07.280,00:02:10.560,Haha.,UNKNOWN
00:02:10.560,00:02:14.360,"Yeah, really?",UNKNOWN
00:02:14.360,00:02:19.199,You're on Rank?,UNKNOWN
00:02:19.199,00:02:23.199,I'm just dramatic children.,UNKNOWN
00:02:23.199,00:02:27.199,I'm already sad.,UNKNOWN
00:02:27.199,00:02:31.199,I'm really sad.,UNKNOWN
00:02:31.199,00:02:35.199,We should work on the <ANON> marker.,UNKNOWN
00:02:35.199,00:02:39.199,"Oh shit, it's really bad.",UNKNOWN
00:02:39.199,00:02:43.199,Take more of them to the university.,UNKNOWN
00:02:43.199,00:02:47.199,Do you know what I'm saying?,UNKNOWN
00:02:47.199,00:02:51.199,"Oh, you said that.",UNKNOWN
00:02:51.199,00:02:55.199,"Take the marker, put it back.",UNKNOWN
00:02:55.199,00:02:59.199,You put the marker up in the future.,UNKNOWN
00:02:59.199,00:03:03.199,I don't think the lead's by me.,UNKNOWN
00:03:03.199,00:03:07.199,It's like one camera.,UNKNOWN
00:03:07.199,00:03:11.199,"We're like, we're like, dogs on the ground.",UNKNOWN
00:03:11.199,00:03:15.199,I'm going to get a little bit of paper.,UNKNOWN
00:03:15.199,00:03:19.199,I see the next chunk comes in.,UNKNOWN
00:03:19.199,00:03:23.199,You have seen <ANON> before I merge with,UNKNOWN
00:03:23.199,00:03:27.199,a waiting group.,UNKNOWN
00:03:27.199,00:03:31.199,Excuse me.,UNKNOWN
00:03:31.199,00:03:35.199,I value your approval.,UNKNOWN
00:03:35.199,00:03:39.199,Why do you approve?,UNKNOWN
00:03:39.199,00:03:43.199,Why does it have your approval review as a product?,UNKNOWN
00:03:43.199,00:03:47.199,Can you just buy me a book?,UNKNOWN
00:03:47.199,00:03:51.199,"Yeah, he lived in every...",UNKNOWN
00:03:51.199,00:03:55.199,I thought it needed two.,UNKNOWN
00:03:55.199,00:03:59.199,"I love your unit, bro.",UNKNOWN
00:03:59.199,00:04:03.199,I lose you for my unit.,UNKNOWN
00:04:03.199,00:04:07.199,You can't mess with your unit.,UNKNOWN
00:04:07.199,00:04:11.199,I take your own code review.,UNKNOWN
00:04:11.199,00:04:15.199,"That's really fair, <ANON>.",UNKNOWN
00:04:15.199,00:04:19.199,You're doing it over.,UNKNOWN
00:04:19.199,00:04:23.199,"So, let each change, make sure it's correct.",UNKNOWN
00:04:23.199,00:04:27.199,I know this code.,UNKNOWN
00:04:27.199,00:04:31.199,Why is it hard?,UNKNOWN
00:04:31.199,00:04:35.199,"Wait, now we're finding the next group.",UNKNOWN
00:04:35.199,00:04:39.199,"Oh, so the key to this view is five or...",UNKNOWN
00:04:39.199,00:04:43.199,This is a trashy view.,UNKNOWN
00:04:43.199,00:04:47.199,It's a view.,UNKNOWN
00:04:47.199,00:04:51.199,You know what else I have to see?,UNKNOWN
00:04:51.199,00:04:55.199,I have to see my rest of the unit enter.,UNKNOWN
00:04:55.199,00:04:59.199,"No, I have to see my rest of the unit enter.",UNKNOWN
00:04:59.199,00:05:03.199,I do think that you should...,UNKNOWN
00:05:03.199,00:05:07.199,You know what I don't like?,UNKNOWN
00:05:07.199,00:05:11.199,A lot of the logging stuff,UNKNOWN
00:05:11.199,00:05:15.199,is like nobody ranking.,UNKNOWN
00:05:15.199,00:05:19.199,How are we going to know about it?,UNKNOWN
00:05:19.199,00:05:23.199,We know all the ranking.,UNKNOWN
00:05:23.199,00:05:27.199,"No, we're ranking.",UNKNOWN
00:05:27.199,00:05:31.199,"No, we're ranking.",UNKNOWN
00:05:31.199,00:05:35.199,We're ranking in the right hand.,UNKNOWN
00:05:35.199,00:05:39.199,We're all body ranking.,UNKNOWN
