start_time,end_time,text,speaker
00:00:00.000,00:00:05.000,Who's in ranking for in conversation?,UNKNOWN
00:00:05.000,00:00:06.000,I know.,UNKNOWN
00:00:06.000,00:00:09.000,Who's in ranking for in conversation?,UNKNOWN
00:00:09.000,00:00:10.000,I know.,UNKNOWN
00:00:10.000,00:00:11.000,Who are we guys?,UNKNOWN
00:00:11.000,00:00:12.000,It's why we're in.,UNKNOWN
00:00:12.000,00:00:13.000,It's why we're in.,UNKNOWN
00:00:13.000,00:00:14.000,It's why we're in.,UNKNOWN
00:00:14.000,00:00:17.000,I thought it was like a hard call.,UNKNOWN
00:00:17.000,00:00:18.000,Raking the body.,UNKNOWN
00:00:18.000,00:00:19.000,Okay.,UNKNOWN
00:00:19.000,00:00:23.000,This is not supposed to be six minutes long.,UNKNOWN
00:00:23.000,00:00:26.000,You didn't really hit it.,UNKNOWN
00:00:26.000,00:00:27.000,Yeah.,UNKNOWN
00:00:27.000,00:00:28.000,Okay.,UNKNOWN
00:00:28.000,00:00:38.740,Is it the,UNKNOWN
00:00:38.740,00:00:40.460,Something.,UNKNOWN
00:00:40.460,00:00:44.960,Why does it.,UNKNOWN
00:00:44.960,00:00:45.960,Why's it.,UNKNOWN
00:00:45.960,00:00:48.000,Why is to do that?,UNKNOWN
00:00:48.000,00:01:14.260,P,UNKNOWN
00:01:14.260,00:01:18.260,I was talking more than near the end of this.,UNKNOWN
00:01:18.260,00:01:22.260,I'm happy to hear myself.,UNKNOWN
00:01:22.260,00:01:26.260,It is connect.,UNKNOWN
00:01:26.260,00:01:30.260,I am like a officer with an outcome.,UNKNOWN
00:01:30.260,00:01:34.260,It's crazy. I hear myself thinking this really is fun.,UNKNOWN
00:01:34.260,00:01:38.260,I'm not sure.,UNKNOWN
00:01:38.260,00:01:42.260,I'm like a woman.,UNKNOWN
00:01:42.260,00:01:46.260,Record audio.,UNKNOWN
00:01:46.260,00:01:50.260,"Oh, yeah.",UNKNOWN
00:01:50.260,00:01:54.260,What are you doing?,UNKNOWN
00:01:54.260,00:01:58.260,"I'm like, okay.",UNKNOWN
00:01:58.260,00:02:02.260,"I'm like, okay.",UNKNOWN
00:02:02.260,00:02:06.260,Okay.,UNKNOWN
00:02:06.260,00:02:10.259,It should have ended as a US.,UNKNOWN
00:02:10.259,00:02:14.259,Now let's end you.,UNKNOWN
00:02:14.259,00:02:18.259,I committed,UNKNOWN
00:02:18.259,00:02:22.259,what changes you required.,UNKNOWN
00:02:22.259,00:02:26.259,"You know, what did you ask for?",UNKNOWN
00:02:26.259,00:02:30.259,I'm like a functional.,UNKNOWN
00:02:30.259,00:02:34.259,I like the ideas.,UNKNOWN
00:02:34.259,00:02:38.259,Nice.,UNKNOWN
00:02:38.259,00:02:42.259,My saba that's greasy is what ended with,UNKNOWN
00:02:42.259,00:02:46.259,this artist. Let's see.,UNKNOWN
00:02:46.259,00:02:50.259,I'm a saba beep.,UNKNOWN
00:02:50.259,00:02:54.259,I read all this.,UNKNOWN
00:02:54.259,00:02:58.259,You know what I have following?,UNKNOWN
00:02:58.259,00:03:02.259,Or potentially what I have a problem with?,UNKNOWN
00:03:02.259,00:03:06.259,I did my right now.,UNKNOWN
00:03:06.259,00:03:10.259,I used ACM to do this.,UNKNOWN
00:03:10.259,00:03:14.259,"No, you see this? All of our functions and audio are",UNKNOWN
00:03:14.259,00:03:18.259,really safe. So I had to make a queue with,UNKNOWN
00:03:18.259,00:03:22.259,ACM to you. But you made it with a queue.,UNKNOWN
00:03:22.259,00:03:26.259,I just hope this one does a queue.,UNKNOWN
00:03:26.259,00:03:30.259,I just hope this one a problem when we're running both cases.,UNKNOWN
00:03:30.259,00:03:34.259,You have to make sure it doesn't make my phone.,UNKNOWN
00:03:34.259,00:03:38.259,My main is you're running right now.,UNKNOWN
00:03:38.259,00:03:40.099,"Maybeyd, is being being",UNKNOWN
00:03:40.099,00:03:42.259,The main thing is that's being again.,UNKNOWN
00:03:42.259,00:03:44.659,I swear the next year I'm listening until,UNKNOWN
00:03:44.659,00:03:48.799,"my main, meeting every minute.",UNKNOWN
00:03:48.799,00:03:52.799,"Yes, totally.",UNKNOWN
00:03:52.799,00:03:56.479,I love your work.,UNKNOWN
00:03:56.479,00:04:02.439,"That's kind of a good chance to, like, improve the art.",UNKNOWN
00:04:02.439,00:04:04.439,I'm gonna prove it right now. You can do it.,UNKNOWN
00:04:04.439,00:04:07.439,"Okay, I'm gonna read this misread.",UNKNOWN
00:04:08.439,00:04:09.439,Bye.,UNKNOWN
00:04:09.439,00:04:11.439,Why did you work with Ashley?,UNKNOWN
00:04:11.439,00:04:12.439,I just...,UNKNOWN
00:04:12.439,00:04:14.439,Why did you do it like...,UNKNOWN
00:04:14.439,00:04:16.439,"Oh, I don't know how to do it.",UNKNOWN
00:04:16.439,00:04:18.439,"Oh, look at your house.",UNKNOWN
00:04:18.439,00:04:20.439,"Oh, that's not true.",UNKNOWN
00:04:20.439,00:04:22.439,Let's go do this.,UNKNOWN
00:04:22.439,00:04:25.439,"No, you have to like, really critically.",UNKNOWN
00:04:25.439,00:04:26.439,I think I'm gonna...,UNKNOWN
00:04:26.439,00:04:27.439,I think I'm gonna poop.,UNKNOWN
00:04:27.439,00:04:29.439,I'm gonna do this before I look at you.,UNKNOWN
00:04:29.439,00:04:30.439,No!,UNKNOWN
00:04:30.439,00:04:31.439,"Don't kill him, I'll freak it.",UNKNOWN
00:04:31.439,00:04:33.439,"You know, do a lot of...",UNKNOWN
00:04:33.439,00:04:34.439,I have to be able to...,UNKNOWN
00:04:34.439,00:04:36.439,"No, no, no, no, no, no, no.",UNKNOWN
00:04:36.439,00:04:38.439,I have to reach it before you deal with us.,UNKNOWN
00:04:38.439,00:04:40.439,"Obviously, I can't march in heels if twice.",UNKNOWN
00:04:40.439,00:04:41.439,Maybe.,UNKNOWN
00:04:41.439,00:04:42.439,Wait!,UNKNOWN
00:04:42.439,00:04:44.439,"Wait, wait, wait, wait.",UNKNOWN
00:04:44.439,00:04:46.439,We'll bring Ashley to the house.,UNKNOWN
00:04:46.439,00:04:47.439,"Oh, yeah, yeah.",UNKNOWN
00:04:47.439,00:04:49.439,Those are great-aw-ing heels for us.,UNKNOWN
