start_time,end_time,text,speaker
00:00:00.000,00:00:02.000,Here you go.,UNKNOWN
00:00:02.000,00:00:04.000,Let's explain.,UNKNOWN
00:00:07.000,00:00:08.000,It looks good.,UNKNOWN
00:00:08.000,00:00:10.000,Can't anything medical?,UNKNOWN
00:00:10.000,00:00:12.000,You gotta do it.,UNKNOWN
00:00:12.000,00:00:14.000,You're gonna need medical.,UNKNOWN
00:00:14.000,00:00:16.000,"You know you're like a physician, right?",UNKNOWN
00:00:16.000,00:00:20.000,You can't just like sew two things together and then scrub out.,UNKNOWN
00:00:20.000,00:00:22.000,I've acted in front of you.,UNKNOWN
00:00:22.000,00:00:24.000,I love them.,UNKNOWN
00:00:24.000,00:00:26.000,I just don't know what you're gonna remember.,UNKNOWN
00:00:26.000,00:00:28.000,"No, dude.",UNKNOWN
00:00:28.000,00:00:30.000,I'm not sure what I will say.,UNKNOWN
00:00:30.000,00:00:32.000,The vascular word is.,UNKNOWN
00:00:32.000,00:00:34.000,"It's like, oh.",UNKNOWN
00:00:34.000,00:00:36.000,You guys hold the diabetics.,UNKNOWN
00:00:36.000,00:00:38.000,You know?,UNKNOWN
00:00:38.000,00:00:40.000,Like sorry.,UNKNOWN
00:00:40.000,00:00:42.000,Yeah.,UNKNOWN
00:00:42.000,00:00:46.000,The first row is the diagnosis.,UNKNOWN
00:00:46.000,00:00:48.000,This is your airway management.,UNKNOWN
00:00:48.000,00:00:50.000,Yeah.,UNKNOWN
00:00:50.000,00:00:52.000,I don't even know if they match.,UNKNOWN
00:00:52.000,00:00:54.000,Okay.,UNKNOWN
00:00:54.000,00:00:56.000,We didn't hear any last.,UNKNOWN
00:00:56.000,00:00:58.000,Okay.,UNKNOWN
00:00:58.000,00:01:02.000,So your job is just really to articulate everything in a loud that you're thinking what you're doing.,UNKNOWN
00:01:02.000,00:01:04.000,Yeah.,UNKNOWN
00:01:04.000,00:01:06.000,Sounds good.,UNKNOWN
00:01:06.000,00:01:08.000,I know it might sound a lot.,UNKNOWN
00:01:08.000,00:01:10.000,It might look like a three-seater.,UNKNOWN
00:01:10.000,00:01:12.000,Yeah.,UNKNOWN
00:01:12.000,00:01:14.000,I've had some time.,UNKNOWN
00:01:14.000,00:01:16.000,I've had a big trauma case during the day.,UNKNOWN
00:01:16.000,00:01:18.000,Maybe.,UNKNOWN
00:01:18.000,00:01:20.000,I know CO actually.,UNKNOWN
00:01:20.000,00:01:22.000,"Well, some of them have been there before.",UNKNOWN
00:01:22.000,00:01:24.000,Okay.,UNKNOWN
00:01:24.000,00:01:28.000,I'm gonna try my first session coming to you in the end.,UNKNOWN
00:01:28.000,00:01:30.000,Like this one.,UNKNOWN
00:01:30.000,00:01:32.000,Are you having?,UNKNOWN
00:01:32.000,00:01:34.000,Who are supposed to?,UNKNOWN
00:01:34.000,00:01:36.000,The engineers are making fun of me.,UNKNOWN
00:01:36.000,00:01:38.000,Yeah.,UNKNOWN
00:01:38.000,00:01:40.000,I don't want to lie to you.,UNKNOWN
00:01:40.000,00:01:42.000,The engineers are bullying me.,UNKNOWN
00:01:42.000,00:01:44.000,Okay.,UNKNOWN
00:01:44.000,00:01:46.000,Good?,UNKNOWN
00:01:46.000,00:01:48.000,Awesome.,UNKNOWN
00:01:48.000,00:01:50.000,"Alright, so here's the study guys.",UNKNOWN
00:01:50.000,00:01:52.000,Without surgical services.,UNKNOWN
00:01:52.000,00:01:54.000,"I'm sorry, but for you personally.",UNKNOWN
00:01:54.000,00:01:58.000,"If that be okay, if this time keep the trials out, we need them outside.",UNKNOWN
00:01:58.000,00:02:00.000,If that's okay.,UNKNOWN
00:02:00.000,00:02:02.000,Is that okay?,UNKNOWN
00:02:02.000,00:02:04.000,To avoid madness?,UNKNOWN
00:02:04.000,00:02:06.000,No.,UNKNOWN
00:02:06.000,00:02:08.000,We need you to talk to us for some of the medical terms we want to record you separately.,UNKNOWN
00:02:08.000,00:02:10.000,Just that's okay.,UNKNOWN
00:02:10.000,00:02:12.000,It's okay with it.,UNKNOWN
00:02:12.000,00:02:14.000,So I need a bit of nerve?,UNKNOWN
00:02:14.000,00:02:16.000,Okay.,UNKNOWN
00:02:16.000,00:02:18.000,Okay.,UNKNOWN
00:02:18.000,00:02:22.000,So you have access to poor luxury.,UNKNOWN
00:02:22.000,00:02:24.000,The ultrasound machine is broken.,UNKNOWN
00:02:24.000,00:02:26.000,Okay.,UNKNOWN
00:02:26.000,00:02:28.000,So you have also...,UNKNOWN
00:02:28.000,00:02:30.000,"Technology scans are available, but the result's 660 minutes.",UNKNOWN
00:02:30.000,00:02:34.000,"There are four units of owning, and it's blood available to you.",UNKNOWN
00:02:34.000,00:02:36.000,You have two units of pros and cons.,UNKNOWN
00:02:36.000,00:02:38.000,Closeman takes 30 minutes to thought.,UNKNOWN
00:02:38.000,00:02:42.000,The nirsch referral center is 50 kilometers away.,UNKNOWN
00:02:42.000,00:02:44.000,The ground and air transport is available.,UNKNOWN
00:02:44.000,00:02:49.419,So the history that you get from the paramedics is that this is a 25 year old,UNKNOWN
00:02:49.419,00:02:54.860,email reportedly intentionally jumped off a third floor. I'm an apartment,UNKNOWN
00:02:54.860,00:03:03.740,complex in an attempt at self injury. The patient reports severe left leg pain.,UNKNOWN
00:03:03.740,00:03:09.460,There is a large intrusion on the left forehead. The left thigh is,UNKNOWN
00:03:09.460,00:03:15.060,contused and there is deformity without an open wound. Breath sounds are,UNKNOWN
00:03:15.060,00:03:20.319,decreased in the left. As per by centers the patient had intramanally lost,UNKNOWN
00:03:20.319,00:03:27.020,consciousness. The blood pressure on arrival in 100 over 60 heart rate is 110,UNKNOWN
00:03:27.020,00:03:34.740,respiratory rate is 24 and shallow. Spo2 and 90 are sorry is 89% GCS is 14.,UNKNOWN
00:03:34.740,00:03:50.460,Was the pressure 100 over 60? Yeah. No one's watching you.,UNKNOWN
00:03:50.460,00:03:56.099,It's just like go through the motion. It's all about the audio pile. You have to be like,UNKNOWN
00:03:56.099,00:04:03.260,it's a nice squirrel. Maybe a mouse mouse. Nice having a worth of money.,UNKNOWN
00:04:03.260,00:04:06.460,Welcome.,UNKNOWN
00:04:06.460,00:04:07.460,Okay.,UNKNOWN
00:04:07.460,00:04:13.460,Can you call for vitals or if you say I'm cycling a pressure.,UNKNOWN
00:04:13.460,00:04:20.460,I'll show up on the monitor.,UNKNOWN
00:04:20.460,00:04:23.460,Start.,UNKNOWN
00:04:23.460,00:04:24.460,Okay.,UNKNOWN
00:04:24.460,00:04:28.460,Oh my god. Thank you.,UNKNOWN
00:04:28.460,00:04:35.139,My name is Jeremy. This is my team. We'll just get just over here to set you up with more,UNKNOWN
00:04:35.139,00:04:36.139,of these.,UNKNOWN
00:04:36.139,00:04:38.139,"What's your name, ma'am?",UNKNOWN
00:04:38.139,00:04:43.139,My name is Sarah. I always pay.,UNKNOWN
00:04:43.139,00:04:46.139,I've heard of my chest and my leg.,UNKNOWN
00:04:46.139,00:04:50.139,"Alright, Sarah. I'm just going to undress you so I can take a look at all your injuries.",UNKNOWN
00:04:50.139,00:04:51.139,Oops.,UNKNOWN
00:04:51.139,00:04:54.139,"You know, let me get this gals off.",UNKNOWN
00:04:54.139,00:04:58.139,I'll get my heat access.,UNKNOWN
00:04:58.139,00:05:05.139,Is Sarah supposed to have a gunshot wound or a laceration to the left chest?,UNKNOWN
00:05:05.139,00:05:12.139,I have no breast sounds to the left doctor.,UNKNOWN
00:05:12.139,00:05:19.139,Okay. No breast sounds to the left. Do you want to continue your survey?,UNKNOWN
00:05:19.139,00:05:21.139,I would like to intervene.,UNKNOWN
00:05:21.139,00:05:26.139,"Can we set the oxygen to flush? What do you want to do, doctor?",UNKNOWN
00:05:26.139,00:05:32.139,"If she right now, her, she's sounding 90% she's on. What is she on for oxygen?",UNKNOWN
00:05:32.139,00:05:37.139,Is her trachea deviated at all? Can we cycle her blood pressure one more time?,UNKNOWN
00:05:37.139,00:05:39.139,Can we put her up?,UNKNOWN
00:05:39.139,00:05:42.139,"She's on an auto-meat, either.",UNKNOWN
00:05:42.139,00:05:44.139,Just turn her oxygen up.,UNKNOWN
00:05:44.139,00:05:47.139,No trachyl baby patient.,UNKNOWN
00:05:47.139,00:05:49.139,You want chest?,UNKNOWN
00:05:49.139,00:05:52.139,Then we can also call for a chest that's ready to come.,UNKNOWN
00:05:52.139,00:05:56.139,"Her sat, she's starting to desat and she's pretty tattered, poetic.",UNKNOWN
00:05:56.139,00:05:58.139,I think we should intervene on this chest.,UNKNOWN
00:05:58.139,00:05:59.139,Do you want to put a chest to them?,UNKNOWN
00:05:59.139,00:06:06.139,"Sarah, I'm concerned that you have some air or blood in your chest that's making it hard for you to breathe",UNKNOWN
00:06:06.139,00:06:10.139,and affecting your oxygen. Does it feel hard to breathe?,UNKNOWN
00:06:13.139,00:06:16.139,I dropped it along.,UNKNOWN
00:06:16.139,00:06:19.139,"Sarah, can you hear me?",UNKNOWN
00:06:19.139,00:06:20.139,Do you ever get pulses?,UNKNOWN
00:06:20.139,00:06:22.139,"Yeah, I've got pulses.",UNKNOWN
00:06:22.139,00:06:24.139,"Sarah, is Sarah on responsive?",UNKNOWN
00:06:25.139,00:06:27.139,There we go.,UNKNOWN
00:06:27.139,00:06:30.139,Can we put the chest toobin?,UNKNOWN
00:06:30.139,00:06:33.139,"Sarah, I'm going to put a chest toobin.",UNKNOWN
00:06:33.139,00:06:36.139,You have some air and that's making your lung deflated.,UNKNOWN
00:06:36.139,00:06:39.139,I think that's what's causing you some of this pain.,UNKNOWN
00:06:39.139,00:06:42.139,"This is not going to be uncomfortable, Sarah.",UNKNOWN
