start_time,end_time,text,speaker
00:00:00.000,00:00:03.359,there and just like work as as it has nothing on you.,UNKNOWN
00:00:03.359,00:00:04.320,As much as possible.,UNKNOWN
00:00:04.320,00:00:07.839,"Okay, I don't know what a lot of pose this is.",UNKNOWN
00:00:07.839,00:00:09.839,"Yeah, that's fine.",UNKNOWN
00:00:09.839,00:00:11.040,"Okay, we're good.",UNKNOWN
00:00:11.040,00:00:11.839,Okay.,UNKNOWN
00:00:11.839,00:00:12.640,Is he ready?,UNKNOWN
00:00:12.640,00:00:13.120,Yes.,UNKNOWN
00:00:13.120,00:00:13.599,Yep.,UNKNOWN
00:00:13.599,00:00:15.839,So you're the primary.,UNKNOWN
00:00:19.039,00:00:19.839,It's so dropping.,UNKNOWN
00:00:19.839,00:00:21.920,It doesn't have to be the same angle.,UNKNOWN
00:00:21.920,00:00:23.039,So you don't need to keep lifting it up.,UNKNOWN
00:00:23.039,00:00:24.000,It's all working.,UNKNOWN
00:00:25.519,00:00:26.719,You guys read the script.,UNKNOWN
00:00:26.719,00:00:27.519,You're the one who wrote it.,UNKNOWN
00:00:27.519,00:00:28.320,Yeah.,UNKNOWN
00:00:28.320,00:00:29.519,I don't like them.,UNKNOWN
00:00:29.519,00:00:30.800,He's checking it until all right.,UNKNOWN
00:00:30.800,00:00:31.760,"No, it is.",UNKNOWN
00:00:31.760,00:00:32.560,It's all good.,UNKNOWN
00:00:32.560,00:00:33.759,There's a little bit of work.,UNKNOWN
00:00:33.759,00:00:34.560,There it is.,UNKNOWN
00:00:34.560,00:00:35.679,There's a little report.,UNKNOWN
00:00:35.679,00:00:36.240,There we go.,UNKNOWN
00:00:36.240,00:00:36.719,A couple years.,UNKNOWN
00:00:36.719,00:00:37.759,Okay.,UNKNOWN
00:00:37.759,00:00:42.079,So you're the setting is that you're in a community hospital.,UNKNOWN
00:00:42.079,00:00:43.840,It has surgical capabilities.,UNKNOWN
00:00:43.840,00:00:45.200,"You have access to a portable,",UNKNOWN
00:00:45.200,00:00:47.039,just sound chest X-ray.,UNKNOWN
00:00:48.719,00:00:52.079,You have access to the blood bank with blood products available,UNKNOWN
00:00:52.079,00:00:53.679,in the nearest referral center.,UNKNOWN
00:00:53.679,00:00:54.960,It's 70 kilometers away.,UNKNOWN
00:00:55.920,00:00:58.480,You have ground and air transports available to you.,UNKNOWN
00:00:59.280,00:01:02.560,So the scenario is that you have a 35-year-old male,UNKNOWN
00:01:02.560,00:01:06.640,who's sustained a single knife injury to the left chest,UNKNOWN
00:01:07.359,00:01:10.719,in a reported domestic dispute approximately five minutes prior,UNKNOWN
00:01:10.719,00:01:11.920,to the ambulance arrival.,UNKNOWN
00:01:12.879,00:01:16.400,He has a two centimeter second stab wound,UNKNOWN
00:01:16.400,00:01:19.120,in the left third intercostal space,UNKNOWN
00:01:19.120,00:01:20.719,just anterior stimuli.,UNKNOWN
00:01:21.439,00:01:22.719,Breath sounds are diminished.,UNKNOWN
00:01:23.359,00:01:25.599,Weddle signs are 80 or 40.,UNKNOWN
00:01:25.599,00:01:27.519,Heart rate is 140.,UNKNOWN
00:01:27.519,00:01:29.200,For sparring cherry rate is 32.,UNKNOWN
00:01:30.079,00:01:32.400,O2 sats are 80%.,UNKNOWN
00:01:32.400,00:01:34.560,He's on 12 years of oxygen.,UNKNOWN
00:01:34.560,00:01:36.959,Paramedics have started an ID for you.,UNKNOWN
00:01:36.959,00:01:37.760,Okay.,UNKNOWN
00:01:37.760,00:01:38.960,Go.,UNKNOWN
00:01:38.960,00:01:39.759,Good.,UNKNOWN
00:01:42.719,00:01:44.079,So the vision is already in.,UNKNOWN
00:01:45.439,00:01:46.560,I think that's the way that.,UNKNOWN
00:01:46.560,00:01:47.039,Good.,UNKNOWN
00:01:47.039,00:01:47.439,Perfect.,UNKNOWN
00:01:48.480,00:01:51.599,So everybody we have a bottle of this.,UNKNOWN
00:01:52.559,00:01:56.319,"35-year-old man, single stab wound to the chest.",UNKNOWN
00:01:56.319,00:01:57.519,Seems fairly unstable.,UNKNOWN
00:01:57.519,00:01:58.559,Can I ask my nurse to.,UNKNOWN
00:01:58.559,00:01:59.359,Ah!,UNKNOWN
00:01:59.359,00:01:59.759,Ah!,UNKNOWN
00:01:59.759,00:02:02.000,Can I ask her to the cap ring?,UNKNOWN
00:02:02.000,00:02:02.799,Yeah.,UNKNOWN
00:02:02.799,00:02:06.079,So can I ask her to the right time just to do your primary surveys?,UNKNOWN
00:02:06.079,00:02:06.879,Start making sure.,UNKNOWN
00:02:06.879,00:02:07.759,"You may spend patience,",UNKNOWN
00:02:07.759,00:02:10.000,but the meantime can I have cardiac monitoring?,UNKNOWN
00:02:10.000,00:02:10.400,Can I have cardiac surgery?,UNKNOWN
00:02:10.400,00:02:11.120,"Yeah, access.",UNKNOWN
00:02:12.000,00:02:12.400,So.,UNKNOWN
00:02:12.400,00:02:13.199,Breath sounds to the right.,UNKNOWN
00:02:13.199,00:02:14.719,Looking at the vitals right now.,UNKNOWN
