start_time,end_time,text,speaker
00:00:00.000,00:00:04.000,"Here we go, we're continuing the conversation with Charles.",UNKNOWN
00:00:04.000,00:00:10.000,"So for the breathing I think we did, so we're always talking about third-party.",UNKNOWN
00:00:10.000,00:00:18.000,"So it's unlikely to be an ambulance or an helicopter, but in terms of could be used",UNKNOWN
00:00:18.000,00:00:28.000,"in a finriciero, which is a rib spreader, a crush clamping here, the art is empty,",UNKNOWN
00:00:28.000,00:00:32.000,if it's V5 VTAC.,UNKNOWN
00:00:35.000,00:00:38.000,"No car activity, tembanaad.",UNKNOWN
00:00:44.000,00:00:46.000,What else?,UNKNOWN
00:00:49.000,00:00:57.000,"Climb shell, which means that we open the other side as well to get access to both sides of the chest.",UNKNOWN
00:01:05.000,00:01:10.000,"I think that's what is useful probably for that part, because we are early, speak to rest out.",UNKNOWN
00:01:11.000,00:01:30.000,"Then for circulation, IV access, IV line, central line, triple lumen, radio line, femoral line,",UNKNOWN
00:01:30.000,00:01:39.000,"arc line, subclavian, ij, jugular, intra-osius, Iol.",UNKNOWN
00:01:43.000,00:01:46.000,That's about it for the access.,UNKNOWN
00:01:47.000,00:02:10.000,"And then for the volume, so saline, ringers, lactic, bolus, MHP massive hemorrhage protocol,",UNKNOWN
00:02:11.000,00:02:28.000,"a unit, red blood cell, plasma, FFP, platelets, fibregany, calcium, TXA, trinocytic acid,",UNKNOWN
00:02:29.000,00:02:47.000,"cyclocrypt, caparons, lactic, lus, and then fast, positive, fast, reflued, percoliol diffusion, long-sliding,",UNKNOWN
00:02:47.000,00:03:09.000,"poles, poles less, wheat poles, arterial, weeding, trinocate, poles of tile,",UNKNOWN
00:03:09.000,00:03:36.000,"and then, pulsing, poles less, so far the fast, it might be associated to regions,",UNKNOWN
00:03:36.000,00:03:43.000,"or right up, percoliol diffusion, left up, percoliol diffusion, right, we will also be Morrison's view,",UNKNOWN
00:03:43.000,00:03:55.000,"and then, the pylvis, percoliol windower, and the acid, the issue, but for the chest, long-sliding,",UNKNOWN
00:03:55.000,00:04:17.000,"and then, after that, for the volume part, pylvis stability, so stable pylvis, pylvic binder,",UNKNOWN
00:04:17.000,00:04:24.000,"and then, for the adjuncts, we usually get a chest x-ray and a pylvic x-ray, and a chest x-ray,",UNKNOWN
00:04:24.000,00:04:34.000,"we could describe a hemophoron, like I said, for the pylvis, usually working for open books,",UNKNOWN
00:04:34.000,00:04:42.000,"so if you hear that, you really have an open pylvis at risk of reading and getting worse,",UNKNOWN
00:04:42.000,00:04:56.000,"and then, laceration, that's mainly it for the C, for the D-dif, like, disability,",UNKNOWN
00:04:56.000,00:05:01.000,"and we're looking also for deformity, so, open fracture,",UNKNOWN
00:05:01.000,00:05:08.000,"as you can see, for that.",UNKNOWN
00:05:08.000,00:05:24.000,"That makes sense, right, like, to your head, for the GCS, for the class,",UNKNOWN
00:05:24.000,00:05:34.000,"so we're going to look at the pyls, so eye-opening movement, spontaneous movement,",UNKNOWN
00:05:34.000,00:05:54.000,"it's extending, localizing, decarication, misurderation,",UNKNOWN
00:05:54.000,00:06:01.000,"symmetrical for the pupil, asymmetrical, responding to light, non-responding to light,",UNKNOWN
00:06:01.000,00:06:09.000,"or quickly, we would say pupils are either equal and reactive, or two on the left,",UNKNOWN
00:06:09.000,00:06:21.000,"four on the right, non-reactive on the right, blown pupil would be about sine two,",UNKNOWN
00:06:21.000,00:06:30.000,"for the disability, for the mickenication part, if you hear, we're going to give hypotonic or 3%,",UNKNOWN
00:06:30.000,00:06:37.000,"so sine usually, that we think they're bad, brain bleed, and intracranial hypertension,",UNKNOWN
00:06:37.000,00:06:48.000,"if you hear a manitle as well, hyperventilate after that part,",UNKNOWN
00:06:48.000,00:07:01.000,"if you hear, yeah, that's programming things there,",UNKNOWN
00:07:01.000,00:07:10.000,"after that, lug roll, so when you look at the spine, you're stepped deformity,",UNKNOWN
00:07:10.000,00:07:26.000,"once you have bruising, rectal tone, no rectal tone, blood edamias, so immaturia as well,",UNKNOWN
00:07:26.000,00:07:32.000,"I think that mainly is the full head to toe, CT scans straight to the OR,",UNKNOWN
00:07:32.000,00:07:37.000,"those are kind of things that we probably already have in our grid,",UNKNOWN
00:07:39.000,00:07:46.000,"for medication as well, they're pressers, so the ones that are most commonly used",UNKNOWN
00:07:46.000,00:07:59.000,"are going to be either nor epi or livo, which is the same, fendila fring,",UNKNOWN
