start,end,intervention
00:00:03.500,00:00:06.000,start assessment
00:00:06.500,00:00:09.000,"Airway clear, breathing rapid, shallow, about 30 per minute"
00:00:09.500,00:00:12.000,"Pulse is weak, BP looks low, skin pale and cool"
00:00:12.500,00:00:15.000,applying tourniquet high and tight
00:00:15.500,00:00:18.000,"Tourniquet secured, bleeding controlled"
00:00:18.500,00:00:21.000,"IV access established, start fluids, normal saline wide open"
00:00:21.500,00:00:24.000,"Prepare TXA, one gram over 10 minutes"
00:00:24.500,00:00:27.000,Starting TXA infusion now
00:00:27.500,00:00:30.000,give fentanyl 50 micrograms IV slow push
00:00:30.500,00:00:33.000,"Fentanyl administered, monitoring vitals closely"
00:00:33.500,00:00:36.000,"BP improving slightly, HR still elevated, continue fluids"
00:00:39.500,00:00:42.000,"Patient secured on backboard, monitor attached"
00:00:42.500,00:00:45.000,TXA infusion ongoing
00:00:51.500,00:00:54.000,continue monitoring en route
