start_time,end_time,text,speaker
00:00:00.000,00:00:02.960,So we are going to facilitate a trauma scenario now.,UNKNOWN
00:00:02.960,00:00:06.000,So you can see we have a mannequin on the floor with blankets.,UNKNOWN
00:00:06.000,00:00:08.000,The blankets are supposed to be snow.,UNKNOWN
00:00:08.000,00:00:12.000,"It's not really snow, but we're hoping it's just enough to get our participants",UNKNOWN
00:00:12.000,00:00:15.000,in that mindset to go with it.,UNKNOWN
00:00:15.000,00:00:18.000,"Okay, so these are the vital signs.",UNKNOWN
00:00:18.000,00:00:24.000,"And really the point of this scenario is for our responders to respond to the scene,",UNKNOWN
00:00:24.000,00:00:28.000,"perform an assessment, and what they're going to find is that the patient has a pneumo.",UNKNOWN
00:00:28.000,00:00:34.000,"So by, I'll show you that again, clicking on the lungs, and then clicking on pneumothorax,",UNKNOWN
00:00:34.000,00:00:36.000,I can then choose which side.,UNKNOWN
00:00:36.000,00:00:40.000,"So I'm going to give them a right side in pneumo, and then activate.",UNKNOWN
00:00:40.000,00:00:44.000,There might be some other injuries that are hard to simulate using the mannequin.,UNKNOWN
00:00:44.000,00:00:52.000,"So as the facilitator, I will be verbalizing what those are if the participants actually assess them or look for those things.",UNKNOWN
00:00:52.000,00:00:54.000,Okay.,UNKNOWN
00:00:54.000,00:00:56.000,Track 53.,UNKNOWN
00:00:56.000,00:01:02.000,"27-year-old male, ATV roll over, no helmet, county road 1643.",UNKNOWN
00:01:02.000,00:01:04.000,"Time now, 1430.",UNKNOWN
00:01:14.000,00:01:16.000,Hello.,UNKNOWN
00:01:16.000,00:01:20.000,"All right. Yes, I seen safe.",UNKNOWN
00:01:20.000,00:01:26.000,Like we have a 27-year-old male on responsive.,UNKNOWN
00:01:26.000,00:01:32.000,"Sericity here, he might have his hands with the end on service by part of the tag here.",UNKNOWN
00:01:32.000,00:01:38.000,Okay. Our response will get to the vitals here. I'm going to start checking for any injuries.,UNKNOWN
00:01:38.000,00:01:41.000,"To my pad light, trying to hide.",UNKNOWN
00:01:41.000,00:01:42.000,People's rectalight.,UNKNOWN
00:01:42.000,00:01:44.000,People's eye reactant.,UNKNOWN
00:01:44.000,00:01:46.000,You can bring a D-capitalus in the head.,UNKNOWN
00:01:46.000,00:01:50.000,"I can give you a mouth, nose, G-V-D, triple deviation.",UNKNOWN
00:01:50.000,00:01:52.000,Negative.,UNKNOWN
00:01:52.000,00:01:54.000,Any quadiglundery is negative.,UNKNOWN
00:01:54.000,00:01:56.000,I'm off to take the long sounds here.,UNKNOWN
00:02:04.000,00:02:06.000,"Okay, no long sounds on the right.",UNKNOWN
00:02:06.000,00:02:08.000,That's correct.,UNKNOWN
00:02:08.000,00:02:10.000,I'm going to confirm that. I only have chest wire from the left.,UNKNOWN
00:02:10.000,00:02:12.000,That's correct.,UNKNOWN
00:02:12.000,00:02:14.000,"Okay, so I have a possible tension pneumo.",UNKNOWN
00:02:14.000,00:02:16.000,I'm going to stop right there.,UNKNOWN
00:02:16.000,00:02:18.000,"And we're going to actually, I won't grab any of the needle on the tag there.",UNKNOWN
00:02:18.000,00:02:20.000,We're going to need a little chest here.,UNKNOWN
00:02:20.000,00:02:24.000,"We're going to do a second interfaustal space, mid to lickler.",UNKNOWN
00:02:24.000,00:02:26.000,Just above the third rib.,UNKNOWN
00:02:30.000,00:02:32.000,I'm actually going to need a little chest.,UNKNOWN
00:02:34.000,00:02:36.000,"Okay, use a little chest.",UNKNOWN
00:02:36.000,00:02:38.000,"Right here, any type of...",UNKNOWN
00:02:38.000,00:02:40.000,You do.,UNKNOWN
00:02:40.000,00:02:42.000,Are you confirmed that I do have chest rise on the right side now?,UNKNOWN
00:02:42.000,00:02:44.000,You do.,UNKNOWN
00:02:44.000,00:02:46.000,"Yeah, my stuff.",UNKNOWN
00:02:46.000,00:02:48.000,A abdominal area.,UNKNOWN
00:02:48.000,00:02:50.000,A abdomen soft.,UNKNOWN
00:02:50.000,00:02:52.000,"Okay, pelvis.",UNKNOWN
00:02:52.000,00:02:54.000,Some instability.,UNKNOWN
00:02:54.000,00:02:56.000,"Okay, so I noted I'm going to stop there.",UNKNOWN
00:02:56.000,00:02:58.000,I'm going to have to help it find your own.,UNKNOWN
00:02:58.000,00:03:00.000,I partner in my hour.,UNKNOWN
00:03:06.000,00:03:08.000,"Okay, do you partner?",UNKNOWN
00:03:10.000,00:03:12.000,"Then when the person we were 11, do you?",UNKNOWN
00:03:12.000,00:03:14.000,Yeah.,UNKNOWN
00:03:18.000,00:03:20.000,Okay.,UNKNOWN
00:03:22.000,00:03:24.000,A little higher.,UNKNOWN
00:03:24.000,00:03:26.000,Okay.,UNKNOWN
00:03:32.000,00:03:34.000,"Okay, down.",UNKNOWN
00:03:34.000,00:03:36.000,"Okay, pelvic stabilized.",UNKNOWN
00:03:36.000,00:03:38.000,I've gone to the left leg here.,UNKNOWN
00:03:38.000,00:03:40.000,Pulse is there in tact?,UNKNOWN
00:03:40.000,00:03:42.000,"Okay, circular your toes.",UNKNOWN
00:03:42.000,00:03:44.000,No response.,UNKNOWN
00:03:44.000,00:03:46.000,"Okay, down on the other leg here.",UNKNOWN
00:03:46.000,00:03:48.000,Negative.,UNKNOWN
00:03:48.000,00:03:50.000,Don't prepulse.,UNKNOWN
00:03:50.000,00:03:52.000,Pulse is intact.,UNKNOWN
00:03:52.000,00:03:54.000,Left arm.,UNKNOWN
00:03:54.000,00:03:56.000,Same pulse.,UNKNOWN
00:03:56.000,00:03:58.000,Pulse is intact.,UNKNOWN
00:03:58.000,00:04:00.000,Working a stupid fate right now.,UNKNOWN
00:04:00.000,00:04:02.000,No response.,UNKNOWN
00:04:02.000,00:04:04.000,Right arm pulses.,UNKNOWN
00:04:04.000,00:04:06.000,Pulse is intact.,UNKNOWN
00:04:06.000,00:04:08.000,Okay.,UNKNOWN
00:04:08.000,00:04:12.000,"All right, so the lenders we have are the right new modes.",UNKNOWN
