start_time,end_time,text,speaker
00:00:00.000,00:00:04.799,"Oh no, here you go, I think it's going good.",UNKNOWN
00:00:04.799,00:00:11.599,"So if we go stepwise, so if we start with the airway, basic terms,",UNKNOWN
00:00:11.599,00:00:18.800,"intubation, rapid sequence intubation,",UNKNOWN
00:00:18.800,00:00:27.800,"jatras, chin lift, what else?",UNKNOWN
00:00:27.800,00:00:38.799,"Inline stabilization, surgical early, double setup,",UNKNOWN
00:00:38.799,00:00:45.799,cryocopy around and cry.,UNKNOWN
00:00:45.799,00:00:54.799,"With the size of the tube, you know, it's for free guys.",UNKNOWN
00:00:54.799,00:01:01.799,"So for the size of the tube, usually it's like 7.5, 6.6.5,",UNKNOWN
00:01:01.799,00:01:08.799,"all the way up to 8.5, it's reported in French, like FR.",UNKNOWN
00:01:08.799,00:01:14.799,"So more often than that, we call 7.5, and then measure the teeth.",UNKNOWN
00:01:14.799,00:01:19.799,"27, 22, 23, something in line of that.",UNKNOWN
00:01:19.799,00:01:24.799,"So if you're two numbers, 7.5, 22, the teeth, it's usually 7.2.",UNKNOWN
00:01:24.799,00:01:34.799,"And then either length of the teeth, for the airway as well,",UNKNOWN
00:01:34.799,00:01:47.799,"secretion, loose teeth, blood and airway, obstruction, strido, using,",UNKNOWN
00:01:47.799,00:01:53.799,"for the medication, for the intubation, things that are useful,",UNKNOWN
00:01:53.799,00:02:00.799,"usually is rock, rockeronium, which is the same.",UNKNOWN
00:02:00.799,00:02:07.799,"Probe-ful, ketamine, fentanyl, midaz, versaid,",UNKNOWN
00:02:07.799,00:02:14.800,"similar as well, socks and delicolino, socks for short.",UNKNOWN
00:02:14.800,00:02:25.800,"And then, I think those are the main ones that you're going to hear.",UNKNOWN
00:02:25.800,00:02:31.800,"For the breathing, I think that's about it for the airway,",UNKNOWN
00:02:31.800,00:02:40.800,"for the breathing part, air entry to describe if the air is going on both sides,",UNKNOWN
00:02:40.800,00:02:50.800,"reduce or not, chest through, needle decompression,",UNKNOWN
00:02:50.800,00:02:54.800,"in order to describe what we have when we do that,",UNKNOWN
00:02:54.800,00:03:04.800,"and then, we have the gush of air, blood, massive hemothorax.",UNKNOWN
00:03:04.800,00:03:08.800,"Air leak would be used to describe what's coming out of the drain,",UNKNOWN
00:03:08.800,00:03:12.800,"so let's say you have a thorough effect that is connected to see if you have an active leak in your lung,",UNKNOWN
00:03:12.800,00:03:20.800,"or if you have an air leak or bubbling in the tube, chest x-ray,",UNKNOWN
00:03:20.800,00:03:29.800,"cumothorax, hemothorax, wide-medium, sub-Q and fizima,",UNKNOWN
00:03:29.800,00:03:39.800,"sub-cutaneous and fizima, deviated trachea, midline trachea,",UNKNOWN
00:03:39.800,00:03:44.800,"tension pymol would refer as a patient with pymothorax,",UNKNOWN
00:03:44.800,00:03:47.800,"with pymothemin they're called insability,",UNKNOWN
00:03:47.800,00:03:52.800,"so either innovating the high rates of tachycardia are hypotension,",UNKNOWN
00:03:52.800,00:03:58.800,so we're short related to that.,UNKNOWN
00:03:58.800,00:04:05.800,"So those are the main things for the chest thoracotomy,",UNKNOWN
00:04:05.800,00:04:09.800,"which is unlikely either to be in EMS setting,",UNKNOWN
00:04:09.800,00:04:17.800,"so ED's thoracotomy or thoracotomy cart would be related to probipent turning cartiac arrest,",UNKNOWN
00:04:17.800,00:04:21.800,"that means it's chest open,",UNKNOWN
00:04:21.800,00:04:25.800,do you want me to push on that or not really?,UNKNOWN
00:04:25.800,00:04:28.800,So for the...,UNKNOWN
