start,end,speaker,text,tokens,dependencies,entities,intervention
00:00:00.237,00:00:02.798,SPEAKER_00,So we are going to facilitate a trauma scenario now.,"[{""text"": ""going"", ""pos"": ""VERB"", ""lemma"": ""go""}, {""text"": ""facilitate"", ""pos"": ""VERB"", ""lemma"": ""facilitate""}, {""text"": ""trauma"", ""pos"": ""NOUN"", ""lemma"": ""trauma""}, {""text"": ""scenario"", ""pos"": ""NOUN"", ""lemma"": ""scenario""}, {""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""So"", ""head"": ""going"", ""relation"": ""advmod""}, {""word"": ""we"", ""head"": ""going"", ""relation"": ""nsubj""}, {""word"": ""are"", ""head"": ""going"", ""relation"": ""aux""}, {""word"": ""going"", ""head"": ""going"", ""relation"": ""ROOT""}, {""word"": ""to"", ""head"": ""facilitate"", ""relation"": ""aux""}, {""word"": ""facilitate"", ""head"": ""going"", ""relation"": ""xcomp""}, {""word"": ""a"", ""head"": ""scenario"", ""relation"": ""det""}, {""word"": ""trauma"", ""head"": ""scenario"", ""relation"": ""compound""}, {""word"": ""scenario"", ""head"": ""facilitate"", ""relation"": ""dobj""}, {""word"": ""now"", ""head"": ""facilitate"", ""relation"": ""advmod""}, {""word"": ""."", ""head"": ""going"", ""relation"": ""punct""}]","[{""entity"": ""Therapeutic_procedure"", ""text"": ""trauma"", ""score"": 0.9430000185966492}]","{""label"": ""Medication"", ""confidence"": 0.348}"
00:00:03.298,00:00:05.878,SPEAKER_00,So you can see we have a mannequin on the floor with blankets.,"[{""text"": ""mannequin"", ""pos"": ""NOUN"", ""lemma"": ""mannequin""}, {""text"": ""floor"", ""pos"": ""NOUN"", ""lemma"": ""floor""}, {""text"": ""blankets"", ""pos"": ""NOUN"", ""lemma"": ""blanket""}, {""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""So"", ""head"": ""see"", ""relation"": ""advmod""}, {""word"": ""you"", ""head"": ""see"", ""relation"": ""nsubj""}, {""word"": ""can"", ""head"": ""see"", ""relation"": ""aux""}, {""word"": ""see"", ""head"": ""see"", ""relation"": ""ROOT""}, {""word"": ""we"", ""head"": ""have"", ""relation"": ""nsubj""}, {""word"": ""have"", ""head"": ""see"", ""relation"": ""ccomp""}, {""word"": ""a"", ""head"": ""mannequin"", ""relation"": ""det""}, {""word"": ""mannequin"", ""head"": ""have"", ""relation"": ""dobj""}, {""word"": ""on"", ""head"": ""have"", ""relation"": ""prep""}, {""word"": ""the"", ""head"": ""floor"", ""relation"": ""det""}, {""word"": ""floor"", ""head"": ""on"", ""relation"": ""pobj""}, {""word"": ""with"", ""head"": ""have"", ""relation"": ""prep""}, {""word"": ""blankets"", ""head"": ""with"", ""relation"": ""pobj""}, {""word"": ""."", ""head"": ""see"", ""relation"": ""punct""}]","[{""entity"": ""Activity"", ""text"": ""mannequin"", ""score"": 0.6869999766349792}]","{""label"": ""Medication"", ""confidence"": 0.358}"
00:00:06.259,00:00:07.860,SPEAKER_00,The blankets are supposed to be snow.,"[{""text"": ""blankets"", ""pos"": ""NOUN"", ""lemma"": ""blanket""}, {""text"": ""supposed"", ""pos"": ""VERB"", ""lemma"": ""suppose""}, {""text"": ""snow"", ""pos"": ""NOUN"", ""lemma"": ""snow""}, {""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""The"", ""head"": ""blankets"", ""relation"": ""det""}, {""word"": ""blankets"", ""head"": ""supposed"", ""relation"": ""nsubjpass""}, {""word"": ""are"", ""head"": ""supposed"", ""relation"": ""auxpass""}, {""word"": ""supposed"", ""head"": ""supposed"", ""relation"": ""ROOT""}, {""word"": ""to"", ""head"": ""be"", ""relation"": ""aux""}, {""word"": ""be"", ""head"": ""supposed"", ""relation"": ""xcomp""}, {""word"": ""snow"", ""head"": ""be"", ""relation"": ""attr""}, {""word"": ""."", ""head"": ""supposed"", ""relation"": ""punct""}]",[],"{""label"": ""Airway"", ""confidence"": 0.37}"
00:00:07.879,00:00:15.041,SPEAKER_00,"It's not really snow, but we're hoping it's just enough to get our participants in that mindset to go with it.","[{""text"": ""snow"", ""pos"": ""NOUN"", ""lemma"": ""snow""}, {""text"": "","", ""pos"": ""PUNCT"", ""lemma"": "",""}, {""text"": ""hoping"", ""pos"": ""VERB"", ""lemma"": ""hope""}, {""text"": ""participants"", ""pos"": ""NOUN"", ""lemma"": ""participant""}, {""text"": ""mindset"", ""pos"": ""NOUN"", ""lemma"": ""mindset""}, {""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""It"", ""head"": ""'s"", ""relation"": ""nsubj""}, {""word"": ""'s"", ""head"": ""'s"", ""relation"": ""ROOT""}, {""word"": ""not"", ""head"": ""'s"", ""relation"": ""neg""}, {""word"": ""really"", ""head"": ""'s"", ""relation"": ""advmod""}, {""word"": ""snow"", ""head"": ""'s"", ""relation"": ""attr""}, {""word"": "","", ""head"": ""'s"", ""relation"": ""punct""}, {""word"": ""but"", ""head"": ""'s"", ""relation"": ""cc""}, {""word"": ""we"", ""head"": ""hoping"", ""relation"": ""nsubj""}, {""word"": ""'re"", ""head"": ""hoping"", ""relation"": ""aux""}, {""word"": ""hoping"", ""head"": ""'s"", ""relation"": ""conj""}, {""word"": ""it"", ""head"": ""'s"", ""relation"": ""nsubj""}, {""word"": ""'s"", ""head"": ""hoping"", ""relation"": ""ccomp""}, {""word"": ""just"", ""head"": ""enough"", ""relation"": ""advmod""}, {""word"": ""enough"", ""head"": ""'s"", ""relation"": ""acomp""}, {""word"": ""to"", ""head"": ""get"", ""relation"": ""aux""}, {""word"": ""get"", ""head"": ""enough"", ""relation"": ""xcomp""}, {""word"": ""our"", ""head"": ""participants"", ""relation"": ""poss""}, {""word"": ""participants"", ""head"": ""get"", ""relation"": ""dobj""}, {""word"": ""in"", ""head"": ""get"", ""relation"": ""prep""}, {""word"": ""that"", ""head"": ""mindset"", ""relation"": ""det""}, {""word"": ""mindset"", ""head"": ""in"", ""relation"": ""pobj""}, {""word"": ""to"", ""head"": ""go"", ""relation"": ""aux""}, {""word"": ""go"", ""head"": ""get"", ""relation"": ""advcl""}, {""word"": ""with"", ""head"": ""go"", ""relation"": ""prep""}, {""word"": ""it"", ""head"": ""with"", ""relation"": ""pobj""}, {""word"": ""."", ""head"": ""hoping"", ""relation"": ""punct""}]",[],"{""label"": ""Airway"", ""confidence"": 0.36}"
00:00:15.061,00:00:17.603,SPEAKER_00,"Okay, so these are the vital signs.","[{""text"": ""Okay"", ""pos"": ""INTJ"", ""lemma"": ""okay""}, {""text"": "","", ""pos"": ""PUNCT"", ""lemma"": "",""}, {""text"": ""vital"", ""pos"": ""ADJ"", ""lemma"": ""vital""}, {""text"": ""signs"", ""pos"": ""NOUN"", ""lemma"": ""sign""}, {""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""Okay"", ""head"": ""are"", ""relation"": ""intj""}, {""word"": "","", ""head"": ""are"", ""relation"": ""punct""}, {""word"": ""so"", ""head"": ""are"", ""relation"": ""advmod""}, {""word"": ""these"", ""head"": ""are"", ""relation"": ""nsubj""}, {""word"": ""are"", ""head"": ""are"", ""relation"": ""ROOT""}, {""word"": ""the"", ""head"": ""signs"", ""relation"": ""det""}, {""word"": ""vital"", ""head"": ""signs"", ""relation"": ""amod""}, {""word"": ""signs"", ""head"": ""are"", ""relation"": ""attr""}, {""word"": ""."", ""head"": ""are"", ""relation"": ""punct""}]",[],"{""label"": ""Medication"", ""confidence"": 0.354}"
00:00:18.222,00:00:24.986,SPEAKER_00,"And really the point of this scenario is for our responders to respond to the scene, perform an assessment.","[{""text"": ""point"", ""pos"": ""NOUN"", ""lemma"": ""point""}, {""text"": ""scenario"", ""pos"": ""NOUN"", ""lemma"": ""scenario""}, {""text"": ""responders"", ""pos"": ""NOUN"", ""lemma"": ""responder""}, {""text"": ""respond"", ""pos"": ""VERB"", ""lemma"": ""respond""}, {""text"": ""scene"", ""pos"": ""NOUN"", ""lemma"": ""scene""}, {""text"": "","", ""pos"": ""PUNCT"", ""lemma"": "",""}, {""text"": ""perform"", ""pos"": ""VERB"", ""lemma"": ""perform""}, {""text"": ""assessment"", ""pos"": ""NOUN"", ""lemma"": ""assessment""}, {""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""And"", ""head"": ""is"", ""relation"": ""cc""}, {""word"": ""really"", ""head"": ""is"", ""relation"": ""advmod""}, {""word"": ""the"", ""head"": ""point"", ""relation"": ""det""}, {""word"": ""point"", ""head"": ""is"", ""relation"": ""nsubj""}, {""word"": ""of"", ""head"": ""point"", ""relation"": ""prep""}, {""word"": ""this"", ""head"": ""scenario"", ""relation"": ""det""}, {""word"": ""scenario"", ""head"": ""of"", ""relation"": ""pobj""}, {""word"": ""is"", ""head"": ""is"", ""relation"": ""ROOT""}, {""word"": ""for"", ""head"": ""respond"", ""relation"": ""mark""}, {""word"": ""our"", ""head"": ""responders"", ""relation"": ""poss""}, {""word"": ""responders"", ""head"": ""respond"", ""relation"": ""nsubj""}, {""word"": ""to"", ""head"": ""respond"", ""relation"": ""aux""}, {""word"": ""respond"", ""head"": ""is"", ""relation"": ""advcl""}, {""word"": ""to"", ""head"": ""respond"", ""relation"": ""prep""}, {""word"": ""the"", ""head"": ""scene"", ""relation"": ""det""}, {""word"": ""scene"", ""head"": ""to"", ""relation"": ""pobj""}, {""word"": "","", ""head"": ""respond"", ""relation"": ""punct""}, {""word"": ""perform"", ""head"": ""respond"", ""relation"": ""conj""}, {""word"": ""an"", ""head"": ""assessment"", ""relation"": ""det""}, {""word"": ""assessment"", ""head"": ""perform"", ""relation"": ""dobj""}, {""word"": ""."", ""head"": ""is"", ""relation"": ""punct""}]",[],"{""label"": ""Medication"", ""confidence"": 0.352}"
00:00:25.466,00:00:28.146,SPEAKER_00,And what they're going to find is that the patient has a pneumo.,"[{""text"": ""going"", ""pos"": ""VERB"", ""lemma"": ""go""}, {""text"": ""find"", ""pos"": ""VERB"", ""lemma"": ""find""}, {""text"": ""patient"", ""pos"": ""NOUN"", ""lemma"": ""patient""}, {""text"": ""pneumo"", ""pos"": ""NOUN"", ""lemma"": ""pneumo""}, {""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""And"", ""head"": ""is"", ""relation"": ""cc""}, {""word"": ""what"", ""head"": ""find"", ""relation"": ""dobj""}, {""word"": ""they"", ""head"": ""going"", ""relation"": ""nsubj""}, {""word"": ""'re"", ""head"": ""going"", ""relation"": ""aux""}, {""word"": ""going"", ""head"": ""is"", ""relation"": ""csubj""}, {""word"": ""to"", ""head"": ""find"", ""relation"": ""aux""}, {""word"": ""find"", ""head"": ""going"", ""relation"": ""xcomp""}, {""word"": ""is"", ""head"": ""is"", ""relation"": ""ROOT""}, {""word"": ""that"", ""head"": ""has"", ""relation"": ""mark""}, {""word"": ""the"", ""head"": ""patient"", ""relation"": ""det""}, {""word"": ""patient"", ""head"": ""has"", ""relation"": ""nsubj""}, {""word"": ""has"", ""head"": ""is"", ""relation"": ""ccomp""}, {""word"": ""a"", ""head"": ""pneumo"", ""relation"": ""det""}, {""word"": ""pneumo"", ""head"": ""has"", ""relation"": ""dobj""}, {""word"": ""."", ""head"": ""is"", ""relation"": ""punct""}]",[],"{""label"": ""Airway"", ""confidence"": 0.344}"
00:00:29.413,00:00:30.053,SPEAKER_00,I'll show you that again.,"[{""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""I"", ""head"": ""show"", ""relation"": ""nsubj""}, {""word"": ""'ll"", ""head"": ""show"", ""relation"": ""aux""}, {""word"": ""show"", ""head"": ""show"", ""relation"": ""ROOT""}, {""word"": ""you"", ""head"": ""show"", ""relation"": ""dobj""}, {""word"": ""that"", ""head"": ""show"", ""relation"": ""dobj""}, {""word"": ""again"", ""head"": ""show"", ""relation"": ""advmod""}, {""word"": ""."", ""head"": ""show"", ""relation"": ""punct""}]",[],"{""label"": ""Airway"", ""confidence"": 0.364}"
00:00:30.112,00:00:36.296,SPEAKER_00,"Clicking on the lungs, and then clicking on pneumothorax, I can then choose which side.","[{""text"": ""Clicking"", ""pos"": ""VERB"", ""lemma"": ""click""}, {""text"": ""lungs"", ""pos"": ""NOUN"", ""lemma"": ""lung""}, {""text"": "","", ""pos"": ""PUNCT"", ""lemma"": "",""}, {""text"": ""clicking"", ""pos"": ""VERB"", ""lemma"": ""click""}, {""text"": ""pneumothorax"", ""pos"": ""NOUN"", ""lemma"": ""pneumothorax""}, {""text"": "","", ""pos"": ""PUNCT"", ""lemma"": "",""}, {""text"": ""choose"", ""pos"": ""VERB"", ""lemma"": ""choose""}, {""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""Clicking"", ""head"": ""Clicking"", ""relation"": ""ROOT""}, {""word"": ""on"", ""head"": ""Clicking"", ""relation"": ""prep""}, {""word"": ""the"", ""head"": ""lungs"", ""relation"": ""det""}, {""word"": ""lungs"", ""head"": ""on"", ""relation"": ""pobj""}, {""word"": "","", ""head"": ""Clicking"", ""relation"": ""punct""}, {""word"": ""and"", ""head"": ""Clicking"", ""relation"": ""cc""}, {""word"": ""then"", ""head"": ""clicking"", ""relation"": ""advmod""}, {""word"": ""clicking"", ""head"": ""choose"", ""relation"": ""advcl""}, {""word"": ""on"", ""head"": ""clicking"", ""relation"": ""prep""}, {""word"": ""pneumothorax"", ""head"": ""on"", ""relation"": ""pobj""}, {""word"": "","", ""head"": ""choose"", ""relation"": ""punct""}, {""word"": ""I"", ""head"": ""choose"", ""relation"": ""nsubj""}, {""word"": ""can"", ""head"": ""choose"", ""relation"": ""aux""}, {""word"": ""then"", ""head"": ""choose"", ""relation"": ""advmod""}, {""word"": ""choose"", ""head"": ""Clicking"", ""relation"": ""conj""}, {""word"": ""which"", ""head"": ""side"", ""relation"": ""det""}, {""word"": ""side"", ""head"": ""choose"", ""relation"": ""dobj""}, {""word"": ""."", ""head"": ""choose"", ""relation"": ""punct""}]",[],"{""label"": ""Airway"", ""confidence"": 0.375}"
00:00:36.317,00:00:39.418,SPEAKER_00,"So I'm going to give them a right-sided pneumo, and then activate.","[{""text"": ""going"", ""pos"": ""VERB"", ""lemma"": ""go""}, {""text"": ""right"", ""pos"": ""ADV"", ""lemma"": ""right""}, {""text"": ""-"", ""pos"": ""PUNCT"", ""lemma"": ""-""}, {""text"": ""sided"", ""pos"": ""ADJ"", ""lemma"": ""sided""}, {""text"": ""pneumo"", ""pos"": ""ADJ"", ""lemma"": ""pneumo""}, {""text"": "","", ""pos"": ""PUNCT"", ""lemma"": "",""}, {""text"": ""activate"", ""pos"": ""VERB"", ""lemma"": ""activate""}, {""text"": ""."", ""pos"": ""PUNCT"", ""lemma"": "".""}]","[{""word"": ""So"", ""head"": ""going"", ""relation"": ""advmod""}, {""word"": ""I"", ""head"": ""going"", ""relation"": ""nsubj""}, {""word"": ""'m"", ""head"": ""going"", ""relation"": ""aux""}, {""word"": ""going"", ""head"": ""going"", ""relation"": ""ROOT""}, {""word"": ""to"", ""head"": ""give"", ""relation"": ""aux""}, {""word"": ""give"", ""head"": ""going"", ""relation"": ""xcomp""}, {""word"": ""them"", ""head"": ""give"", ""relation"": ""dative""}, {""word"": ""a"", ""head"": ""pneumo"", ""relation"": ""det""}, {""word"": ""right"", ""head"": ""sided"", ""relation"": ""advmod""}, {""word"": ""-"", ""head"": ""sided"", ""relation"": ""punct""}, {""word"": ""sided"", ""head"": ""pneumo"", ""relation"": ""amod""}, {""word"": ""pneumo"", ""head"": ""give"", ""relation"": ""dobj""}, {""word"": "","", ""head"": ""going"", ""relation"": ""punct""}, {""word"": ""and"", ""head"": ""going"", ""relation"": ""cc""}, {""word"": ""then"", ""head"": ""activate"", ""relation"": ""advmod""}, {""word"": ""activate"", ""head"": ""going"", ""relation"": ""conj""}, {""word"": ""."", ""head"": ""going"", ""relation"": ""punct""}]","[{""entity"": ""Detailed_description"", ""text"": ""right"", ""score"": 1.0}]","{""label"": ""Airway"", ""confidence"": 0.378}"
